Column_Name,Core_Name,Definition,Molecular_Formula,CAS_Number,Specificity,Category,A,n,B,kOH_source,kOH_source_link,GC_id,GC_rate_law,EF,OHR_Class,notes
Acetonitrile_MixingRatio_PTR,CH3CN,Acetonitrile,C2H3N,75-05-8,S,Nitrogen Species,,,,,,,,0.222887987,,
Acetaldehyde_MixingRatio_PTR,CH3CHO,Acetaldehyde,C2H4O,75-07-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species,2.49E-12,0.73,-4.66,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1992BAU/COB411-429:70,ALD2,"GCARR_ac(4.63e-12, 350.0, TEMP)",,OVOCs,
Acetone_MixingRatio_PTR,Acetone,Acetone,C3H6O,67-64-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species,9.84E-13,0.0,4.02,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2005RAF/STE4728-4735:1,ACET,1.33e-13 + 3.82e-11*np.exp(-2000.0/298),,OVOCs,
DMS_MixingRatio_PTR,DMS,Dimethyl sulfide,C2H6S,75-18-3,S,Sulfur Species,1.13E-11,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:202,DMS,"GCARR_ac(1.20e-11, -280.0, TEMP)",,other,hard to say what measurement is best; PTR with significantly more coverage but a lot of negative values
Furan_MixingRatio_PTR,Furan,Furan,C4H4O,110-00-9,S,Oxygenated Inorganic and Volatile Organic Carbon Species,1.32E-11,0.0,-2.78,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:71,,,0.4052794,furans,
Isoprene_MixingRatio_PTR,Isoprene,Isoprene,C5H8,78-79-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.93E-11,0.0,-3.87,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2017DIL/DUL15137-15150:1,ISOP,"GC_ISO1(1.7e-11, 3.90e2, 9.33e-2, 5.05e15, -1.22e4, 1.79e14, -8.830e3, TEMP)",,isoprene,
MEK_MixingRatio_PTR,MEK,Methyl Ethyl Ketone,C4H8O,78-93-3,S,Oxygenated Inorganic and Volatile Organic Carbon Species,1.30E-12,0.0,0.21,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:63,,,,OVOCs,85% of C4H8O
Benzene_MixingRatio_PTR,Benzene,Benzene,C6H6,71-43-2,S,Hydrocarbons: Aromatics and Oxygenated Aromatics,7.57E-12,0.0,4.4,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:6,BENZ,"GCARR_abc(2.3e-12, 0.0, -193.0, TEMP)",0.41741634,aromatic,
Toluene_MixingRatio_PTR,Toluene,Toluene,C7H8,108-88-3,S,Hydrocarbons: Aromatics and Oxygenated Aromatics,2.09E-12,0.0,-2.68,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:67,TOLU,"GCARR_abc(1.8e-12, 0.0, 340.0, TEMP)",0.273158883,aromatic,
Monoterpenes_MixingRatio_PTR,Monoterpenes,Sum of Monoterpenes,C10H16,,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.83E-11,0.0,-2.74,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2017DIL/DUL15137-15150:2,MTPA,"GCARR_ac(1.21e-11, 440.0, TEMP)",,terpene,
HFC134a_TOGA,HFC134a,"1,1,1,2-Tetrafluoroethane",C2H2F4,811-97-2,S,Halogens and Halogenates,,,,,,,,,,
HCFC141b_TOGA,HCFC141b,"1,1-Dichloro-1-fluoroethane",C2H3Cl2F,1717-00-6,S,Halogens and Halogenates,,,,,,,,,,
HCFC22_TOGA,HCFC22,Chlorodifluoromethane,CHClF2,75-45-6,S,Halogens and Halogenates,,,,,,,,,,
CH3Cl_TOGA,CH3Cl,Chloromethane,CH3Cl,74-87-3,S,Halogens and Halogenates,3.80E-12,0.0,11.14,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:468,CH3Cl,"GCARR_ac(1.96e-12, -1200.0, TEMP)",,other,
CH2Cl2_TOGA,CH2Cl2,Dichloromethane,CH2Cl2,75-09-2,S,Halogens and Halogenates,2.70E-12,0.0,7.65,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:470,CH2Cl2,"GCARR_ac(2.61e-12, -944.0, TEMP)",,other,"TOGA agrees with WAS, more coverage"
CHCl3_TOGA,CHCl3,Chloroform,CHCl3,67-66-3,S,Halogens and Halogenates,9.30E-13,0.0,5.49,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:474,CHCl3,"GCARR_ac(4.69e-12, -1134.0, TEMP)",,other,WAS looks better
CH2ClCH2Cl_TOGA,CH2ClCH2Cl,"1,2-Dichloroethane",C2H4Cl2,107-06-02,S,Halogens and Halogenates,8.92E-12,0.0,9.06,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1992XIN/SHI1-10:7,,,,other,
CH3CCl3_TOGA,CH3CCl3,"Methyl chloroform; 1,1,1- Trichloroethane",C2H3Cl3,71-55-6,S,Halogens and Halogenates,1.20E-12,0.0,11.97,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:482,CH3CCl3,"GCARR_ac(1.64e-12, -1520.0, TEMP)",,other,
C2Cl4_TOGA,C2Cl4,Tetrachloroethene,C2Cl4,127-18-4,S,Halogens and Halogenates,9.40E-12,0.0,9.98,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:479,,,,other,"TOGA agrees with WAS, more coverage"
ClBenzene_TOGA,ClBenzene,Chlorobenzene,C6H5Cl,108-90-7,S,Halogens and Halogenates,,,,,,,,,,
CHBrCl2_TOGA,CHBrCl2,Bromodichloromethane,CHBrCl2,75-27-4,S,Halogens and Halogenates,9.40E-13,0.0,4.27,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2013ORK/KHA3809-3818:4,,,,other,
CHBr2Cl_TOGA,CHBr2Cl,Dibromochloromethane,CHBr2Cl,124-48-1,S,Halogens and Halogenates,9.00E-13,0.0,3.52,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2013ORK/KHA3809-3818:5,,,,other,
CH3Br_TOGA,CH3Br,Bromomethane,CH3Br,74-83-9,S,Halogens and Halogenates,1.70E-12,0.0,10.1,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:582,CH3Br,"GCARR_ac(1.42e-12, -1150.0, TEMP)",,other,
CH2Br2_TOGA,CH2Br2,Dibromomethane,CH2Br2,74-95-3,S,Halogens and Halogenates,1.50E-12,0.0,6.44,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:583,CH2CBr2,"GCARR_ac(2.00e-12, -840.0, TEMP)",,other,WAS much better
CHBr3_TOGA,CHBr3,Bromoform,CHBr3,75-25-2,S,Halogens and Halogenates,1.60E-12,0.0,5.9,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1997DEM/SAN1-266:149,CHBr3,"GCARR_ac(9.00e-13, -360.0, TEMP)",,other,"Horrible agreement between TOGA and WAS, two tailed dist."
CH2ClI_TOGA,CH2ClI,Chloroiodomethane,CH2ClI,593-71-5,S,Halogens and Halogenates,,,,,,,,,,
CH3I_TOGA,CH3I,Iodomethane,CH3I,74-88-4,S,Halogens and Halogenates,3.10E-12,0.0,9.31,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:625,CH3I,"GCARR_ac(2.90e-12, -1100.0, TEMP)",,other,"TOGA agrees with WAS, more coverage"
CS2_TOGA,CS2,Carbon disulfide,CS2,75-15-0,S,Sulfur Species,,,,,,,,,,
Propane_TOGA,Propane,Propane,C3H8,74-98-6,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.47E-12,2.0,0.72,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2003ATK2233-2307:7,C3H8,"GC_TBRANCH_2_acabc(7.60e-12, -585.0, 5.87, 0.64, -816.0, TEMP)",,alkane,
iButane_TOGA,iButane,Isobutane,C4H10,75-28-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",3.18E-12,1.12,1.01,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2006WIL/HAM3593-3604:1,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
nButane_TOGA,nButane,n-Butane,C4H10,106-97-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.61E-12,2.0,-0.95,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2003ATK2233-2307:8,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
iPentane_TOGA,iPentane,Isopentane,C5H12,78-78-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",3.46E-12,1.27,-0.13,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2006WIL/HAM3593-3604:2,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
nPentane_TOGA,nPentane,n-Pentane,C5H12,109-66-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",3.00E-12,1.65,-0.67,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2009SIV/MIC5047-5060:8,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
x2MePentane_TOGA,x2MePentane,2-Methylpentane,C6H14,107-83-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.96E-11,0.0,3.18,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2006WIL/HAM3593-3604:3,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
x3MePentane_TOGA,x3MePentane,3-Methylpentane,C6H14,96-14-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.77E-11,0.0,2.74,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2006WIL/HAM3593-3604:4,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
nHexane_TOGA,nHexane,n-Hexane,C6H14,110-54-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.22E-12,2.22,-3.68,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2009SIV/MIC5047-5060:9,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
x224TrimePentane_TOGA,x224TrimePentane,"2,2,4-Trimethylpentane",C8H18,540-84-1,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",3.41E-12,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2018HAN/SIE320:11,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
nHeptane_TOGA,nHeptane,n-Heptane,C7H16,142-82-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",6.03E-12,1.4,-0.27,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2009SIV/MIC5047-5060:6,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
nOctane_TOGA,nOctane,n-Octane,C8H18,111-65-9,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",7.81E-12,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2009SIV/MIC5047-5060:20,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
Tricyclene_TOGA,Tricyclene,Tricyclene,C10H16,508-32-7,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",,,,,,,,,,
aPinene_TOGA,aPinene,alpha-Pinene,C10H16,80-56-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",,,,,,,,,,
Camphene_TOGA,Camphene,Camphene,C10H16,79-92-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",,,,,,,,,,
mpXylene_TOGA,mpXylene,Sum of m-Xylene and p-Xylene,C8H10,,M,Hydrocarbons: Aromatics and Oxygenated Aromatics,1.66E-11,0.0,0.96,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:63,XYLE,1.70E-11,,aromatic,
oXylene_TOGA,oXylene,o-Xylene,C8H10,95-47-6,S,Hydrocarbons: Aromatics and Oxygenated Aromatics,1.47E-11,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:47,XYLE,1.70E-11,,aromatic,
Styrene_TOGA,Styrene,Styrene,C8H8,100-42-5,S,Hydrocarbons: Aromatics and Oxygenated Aromatics,1.02E-11,0.0,-4.42,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2014CHO/ROU9460-9470:1,,,,aromatic,
CH2O_TOGA,CH2O,Formaldehyde,CH2O,50-00-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species,1.40E-12,1.63,4.41,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2005VAS/DAV98-109:1,CH2O,"GCARR_ac(5.50e-12, 125.0, TEMP)",,OVOCs,
Propanal_TOGA,Propanal,Propanal,C3H6O,123-38-6,S,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
Butanal_TOGA,Butanal,Butanal,C4H8O,123-72-8,S,Oxygenated Inorganic and Volatile Organic Carbon Species,6.00E-12,0.0,-3.41,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:57,,,,OVOCs,1% of C4H8O
Acrolein_TOGA,Acrolein,Acrolein,C3H4O,107-02-08,S,Oxygenated Inorganic and Volatile Organic Carbon Species,6.55E-12,0.0,-2.77,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2002MAG/THE2526-2537:1,,,,OVOCs,
x2Butenals_TOGA,x2Butenals,"Sum of (Z)- and (E)-2-Butenal isomers, Crotonaldehyde",C4H6O,4170-30-3,M,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
CH3OH_TOGA,CH3OH,Methanol,CH4O,67-56-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species,2.88E-13,2.62,-2.85,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2015ZAC/LAM377-384:1,MOH,"GCARR_ac(2.90e-12, -345.0, TEMP)",,OVOCs,
C2H5OH_TOGA,C2H5OH,Ethanol,C2H6O,64-17-5,S,Oxygenated Inorganic and Volatile Organic Carbon Species,2.03E-13,2.67,-7.02,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2010SIV/SU9425-9439:7,EOH,3.35E-12,,OVOCs,
iPropanol_TOGA,iPropanol,Isopropanol,C3H8O,67-63-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species,2.71E-12,0.0,-1.58,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1997ATK/BAU521-1011:46,ROH,"GCARR_ac(4.60e-12, 70.0, TEMP)",,OVOCs,
MBO_TOGA,MBO,2-Methyl-3-buten-2-ol,C5H10O,115-18-4,S,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
MAC_TOGA,MAC,Methacrolein,C4H6O,78-85-3,S,Oxygenated Inorganic and Volatile Organic Carbon Species,1.96E-11,0.0,-1.11,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:36,MACR,"GCARR_ac(4.40e-12, 380.0, TEMP)",,OVOCs,
MVK_TOGA,MVK,Methyl Vinyl Ketone,C4H6O,78-94-4,S,Oxygenated Inorganic and Volatile Organic Carbon Species,3.29E-12,0.0,-4.27,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:38,MVK,"GCARR_ac(2.60e-12, 610.0, TEMP)",,OVOCs,
x2MeFuran_TOGA,x2MeFuran,2-Methylfuran,C5H6O,534-22-5,S,Oxygenated Inorganic and Volatile Organic Carbon Species,7.31E-11,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2011ASC/NIS1859-1865:7,,,,furans,85% of C5H6O
x3MeFuran_TOGA,x3MeFuran,3-Methylfuran,C5H6O,930-27-8,S,Oxygenated Inorganic and Volatile Organic Carbon Species,3.20E-11,0.0,-2.58,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2013LIL/STE787-794:1,,,,furans,15% of C5H6O
Furfural_TOGA,Furfural,Furfural,C5H4O2,98-01-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species,3.50E-11,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1995BIE/BAR2651-2660:1,,,0.522425729,furans,
HCN_TOGA,HCN,Hydrogen cyanide,HCN,74-90-8,S,Nitrogen Species,,,,,,,,,,
Propanenitrile_TOGA,PropNitrile,Propanenitrile,C3H5N,107-12-0,S,Nitrogen Species,,,,,,,,,,
Acrylonitrile_TOGA,Acrylonitrile,Acrylonitrile,C3H3N,107-13-1,S,Nitrogen Species,,,,,,,,,,
MeAcrylonitrile_TOGA,MeAcrylonitrile,Methylacrylonitrile,C4H5N,126-98-7,S,Nitrogen Species,,,,,,,,,,
iPropONO2_TOGA,iPropONO2,Isopropyl nitrate,C3H7NO3,1712-64-7,S,Nitrogen Species,6.60E-13,0.0,1.94,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2015ROM/MOR42-49:1,IPRNO3,"GCARR_ac(1.20e-12, -320.0, TEMP)",,NOy,WAS better coverage than TOGA
nPropONO2_TOGA,nPropONO2,n-Propyl nitrate,C3H7NO3,627-13-4,S,Nitrogen Species,6.20E-13,0.0,1.91,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:85,NPRNO3,7.10E-13,,NOy,
HNCO_UWCIMS,HNCO,Isocyanic acid,HNCO,75-13-8,S,Nitrogen Species,,,,,,,,,,
HNO3_UWCIMS,HNO3,Nitric acid,HNO3,7697-37-2,S,Nitrogen Species,1.50E-13,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:91,HNO3,"GC_OHHNO3_acacac(2.41e-14, 460.0, 2.69e-17, 2199.0, 6.51e-34, 1335.0, TEMP)",,NOy,
SO2_UWCIMS,SO2,Sulfur dioxide,SO2,7446-09-05,S,Sulfur Species,1.31E-12,-0.7,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:181,SO2,"GCJPLPR_aba(3.30e-31, 4.3, 1.6e-12, 0.6, TEMP)",,other,
HCl_UWCIMS,HCl,Hydrogen chloride,HCl,7647-01-0,S,Halogens and Halogenates,,,,,,,,,,
C6H6O_UWCIMS,C6H6O,Sum of Phenol and other C6H6O species,C6H6O,,M,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
C9H14O4_UWCIMS,C9H14O4,Sum of Pinic Acid and other C9H14O4 species,C9H14O4,,M,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
C10H16O3_UWCIMS,C10H16O3,Sum of Pinonic Acid and other C10H16O3 species,C10H16O3,,M,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
C6H10O5_UWCIMS,C6H10O5,Sum of Levoglucosan and other C6H10O5 species,C6H10O5,,M,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
H2O_PICARRO,H2O,water vapor,H2O,,,,,,,,,,,,,
