Column_Name,Core_Name,Definition,Molecular_Formula,CAS_Number,Specificity,Category,A,n,B,kOH_source,kOH_source_link,GC_id,GC_rate_law,EF,OHR_Class,notes
OH_Reactivity,OHR,OH Reactivity - proxy for OH loss frequency or a measure of OH oxidation capacity,,,,"Oxygen Species, Hydrogen Species and Radicals",,,,,,,,,,
Cl_SAGAAERO,Cl,Chlorine atom,Cl,22537-15-1,S,Halogens and Halogenates,,,,,,,,,,
Br_SAGAAERO,Br,Bromine atom,Br,10097-32-2,S,Halogens and Halogenates,,,,,,,,,,
NO3_SAGAAERO,NO3,Nitrate radical,NO3,12033-49-7,S,Nitrogen Species,,,,,,,,,,
CH3OOH_CIT,CH3OOH,Methyl hydroperoxide,CH4O2,3031-73-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
H2O2_CIT,H2O2,Hydrogen peroxide,H2O2,7722-84-1,S,"Oxygen Species, Hydrogen Species and Radicals",2.90E-12,0.0,1.33,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:56,H2O2,1.80E-12,,H2O2,
HCN_CIT,HCN,Hydrogen cyanide,HCN,74-90-8,S,Nitrogen Species,,,,,,,,,,
HNO3_CIT,HNO3,Nitric acid,HNO3,7697-37-2,S,Nitrogen Species,1.50E-13,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:91,HNO3,"GC_OHHNO3_acacac(2.41e-14, 460.0, 2.69e-17, 2199.0, 6.51e-34, 1335.0, TEMP)",,NOy,
IEPOX_CIT,IEPOX,Sum of Isoprene Epoxy Diol Isomers,C5H10O3,,M,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
ISOPN_CIT,ISOPN,Sum of Isoprene Hydroxy Nitrate Isomers,C5H9NO4,,M,Nitrogen Species,3.00E-12,0.0,0.0,GC,,ITHN,3.00E-12,,NOy,
ISOPOOH_CIT,ISOPOOH,Sum of Isoprene Hydroxy Hydroperoxide Isomers,C5H10O3,,M,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
Acetaldehyde_PTRMS,CH3CHO,Acetaldehyde,C2H4O,75-07-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species,2.49E-12,0.73,-4.66,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1992BAU/COB411-429:70,ALD2,"GCARR_ac(4.63e-12, 350.0, TEMP)",,OVOCs,
Acetonitrile_PTRMS,CH3CN,Acetonitrile,C2H3N,75-05-8,S,Nitrogen Species,,,,,,,,0.222887987,,
Benzene_PTRMS,Benzene,Benzene,C6H6,71-43-2,S,Hydrocarbons: Aromatics and Oxygenated Aromatics,7.57E-12,0.0,4.4,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:6,BENZ,"GCARR_abc(2.3e-12, 0.0, -193.0, TEMP)",0.41741634,aromatic,
Isoprene_PTRMS,Isoprene,Isoprene,C5H8,78-79-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.93E-11,0.0,-3.87,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2017DIL/DUL15137-15150:1,ISOP,"GC_ISO1(1.7e-11, 3.90e2, 9.33e-2, 5.05e15, -1.22e4, 1.79e14, -8.830e3, TEMP)",,isoprene,
Methanol_PTRMS,CH3OH,Methanol,CH4O,67-56-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species,2.88E-13,2.62,-2.85,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2015ZAC/LAM377-384:1,MOH,"GCARR_ac(2.90e-12, -345.0, TEMP)",,OVOCs,
Monoterpenes_PTRMS,Monoterpenes,Sum of Monoterpenes,C10H16,,M,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.83E-11,0.0,-2.74,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2017DIL/DUL15137-15150:2,MTPA,"GCARR_ac(1.21e-11, 440.0, TEMP)",,terpene,
Toluene_PTRMS,Toluene,Toluene,C7H8,108-88-3,S,Hydrocarbons: Aromatics and Oxygenated Aromatics,2.09E-12,0.0,-2.68,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:67,TOLU,"GCARR_abc(1.8e-12, 0.0, 340.0, TEMP)",0.273158883,aromatic,
DMS_WAS,DMS,Dimethyl sulfide,C2H6S,75-18-3,S,Sulfur Species,1.13E-11,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:202,DMS,"GCARR_ac(1.20e-11, -280.0, TEMP)",,other,hard to say what measurement is best; PTR with significantly more coverage but a lot of negative values
OCS_WAS,OCS,Carbonyl sulfide,OCS,463-58-1,S,Sulfur Species,1.10E-13,0.0,9.98,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:186,OCS,"GCARR_ac(1.10e-13, -1200.0, TEMP)",,other,
CH3I_WAS,CH3I,Iodomethane,CH3I,74-88-4,S,Halogens and Halogenates,3.10E-12,0.0,9.31,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:625,CH3I,"GCARR_ac(2.90e-12, -1100.0, TEMP)",,other,"TOGA agrees with WAS, more coverage"
CH3Br_WAS,CH3Br,Bromomethane,CH3Br,74-83-9,S,Halogens and Halogenates,1.70E-12,0.0,10.1,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:582,CH3Br,"GCARR_ac(1.42e-12, -1150.0, TEMP)",,other,
CH3Cl_WAS,CH3Cl,Chloromethane,CH3Cl,74-87-3,S,Halogens and Halogenates,3.80E-12,0.0,11.14,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:468,CH3Cl,"GCARR_ac(1.96e-12, -1200.0, TEMP)",,other,
CH2Cl2_WAS,CH2Cl2,Dichloromethane,CH2Cl2,75-09-2,S,Halogens and Halogenates,2.70E-12,0.0,7.65,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:470,CH2Cl2,"GCARR_ac(2.61e-12, -944.0, TEMP)",,other,"TOGA agrees with WAS, more coverage"
CH2Br2_WAS,CH2Br2,Dibromomethane,CH2Br2,74-95-3,S,Halogens and Halogenates,1.50E-12,0.0,6.44,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:583,CH2CBr2,"GCARR_ac(2.00e-12, -840.0, TEMP)",,other,WAS much better
CCl4_WAS,CCl4,Tetrachloromethane,CCl4,56-23-5,S,Halogens and Halogenates,,,,,,,,,,
CH3CCl3_WAS,CH3CCl3,"Methyl chloroform; 1,1,1- Trichloroethane",C2H3Cl3,71-55-6,S,Halogens and Halogenates,1.20E-12,0.0,11.97,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:482,CH3CCl3,"GCARR_ac(1.64e-12, -1520.0, TEMP)",,other,
CHBrCl2_WAS,CHBrCl2,Bromodichloromethane,CHBrCl2,75-27-4,S,Halogens and Halogenates,9.40E-13,0.0,4.27,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2013ORK/KHA3809-3818:4,,,,other,
CHBr2Cl_WAS,CHBr2Cl,Dibromochloromethane,CHBr2Cl,124-48-1,S,Halogens and Halogenates,9.00E-13,0.0,3.52,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2013ORK/KHA3809-3818:5,,,,other,
C2HCl3_WAS,C2HCl3,Trichloroethene,C2HCl3,79-01-6,S,Halogens and Halogenates,5.00E-13,0.0,-3.7,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:478,,,,other,
C2Cl4_WAS,C2Cl4,Tetrachloroethene,C2Cl4,127-18-4,S,Halogens and Halogenates,9.40E-12,0.0,9.98,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:479,,,,other,"TOGA agrees with WAS, more coverage"
CHCl3_WAS,CHCl3,Chloroform,CHCl3,67-66-3,S,Halogens and Halogenates,9.30E-13,0.0,5.49,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:474,CHCl3,"GCARR_ac(4.69e-12, -1134.0, TEMP)",,other,WAS looks better
CHBr3_WAS,CHBr3,Bromoform,CHBr3,75-25-2,S,Halogens and Halogenates,1.60E-12,0.0,5.9,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1997DEM/SAN1-266:149,CHBr3,"GCARR_ac(9.00e-13, -360.0, TEMP)",,other,"Horrible agreement between TOGA and WAS, two tailed dist."
MeONO2_WAS,MeONO2,Methyl nitrate,CH3NO3,598-58-3,S,Nitrogen Species,4.00E-13,0.0,7.03,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:83,MENO3,"GCARR_ac(8.00e-13, -1000.0, TEMP)",,NOy,chose WAS with less coverage b/c TOGA in arbppt
Ethane_WAS,Ethane,Ethane,C2H6,74-84-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",8.53E-13,2.22,3.1,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004KRA/MIC5643-5648:3,C2H6,"GCARR_ac(7.66e-12, -1020.0, TEMP)",,alkane,
Ethene_WAS,Ethene,Ethene,C2H4,74-85-1,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",8.80E-12,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1997DEM/SAN1-266:99,C2H4,"GCJPLPR_abab(1.10e-28, 3.5, 8.4e-12, 1.75, 0.5, TEMP)",,alkene,
Ethyne_WAS,Ethyne,Ethyne,C2H2,74-86-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",7.30E-12,0.0,5.3,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2007MCK/BLI4043-4055:1,C2H2,"GCJPLPR_abab(5.50e-30, 0.0, 8.3e-13, -2.0, 0.5, TEMP)",,alkyne,
Propane_WAS,Propane,Propane,C3H8,74-98-6,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.47E-12,2.0,0.72,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2003ATK2233-2307:7,C3H8,"GC_TBRANCH_2_acabc(7.60e-12, -585.0, 5.87, 0.64, -816.0, TEMP)",,alkane,
Propene_WAS,Propene,Propene,C3H6,0115-07-01,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",4.85E-12,0.0,-4.19,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:78,PRPE,"GCJPLPR_abab(4.60e-27, 4.0, 2.6e-11, 1.3, 0.5, TEMP)",,alkene,
i-Butane_WAS,iButane,Isobutane,C4H10,75-28-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",3.18E-12,1.12,1.01,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2006WIL/HAM3593-3604:1,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
n-Butane_WAS,nButane,n-Butane,C4H10,106-97-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.61E-12,2.0,-0.95,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2003ATK2233-2307:8,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
trans-2-Butene_WAS,t2Butene,trans-2-Butene,C4H8,624-64-6,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.01E-11,0.0,-4.56,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:101,PRPE,"GCJPLPR_abab(4.60e-27, 4.0, 2.6e-11, 1.3, 0.5, TEMP)",,alkene,
cis-2-Butene_WAS,c2Butene,cis-2-Butene,C4H8,590-18-1,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.09E-11,0.0,-4.06,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:97,PRPE,"GCJPLPR_abab(4.60e-27, 4.0, 2.6e-11, 1.3, 0.5, TEMP)",,alkene,
i-Pentane_WAS,iPentane,Isopentane,C5H12,78-78-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",3.46E-12,1.27,-0.13,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2006WIL/HAM3593-3604:2,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
n-Pentane_WAS,nPentane,n-Pentane,C5H12,109-66-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",3.00E-12,1.65,-0.67,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2009SIV/MIC5047-5060:8,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
Cyclopentane_WAS,CycPentane,Cyclopentane,C5H10,287-92-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",2.67E-11,0.0,4.23,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2006WIL/HAM3593-3604:11,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
2-Methylpentane_WAS,x2MePentane,2-Methylpentane,C6H14,107-83-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.96E-11,0.0,3.18,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2006WIL/HAM3593-3604:3,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
3-Methylpentane_WAS,x3MePentane,3-Methylpentane,C6H14,96-14-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.77E-11,0.0,2.74,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2006WIL/HAM3593-3604:4,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
Methylcyclopentane_WAS,MeCycPentane,Methylcyclopentane,C6H12,96-37-7,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",,,,,,,,,,
Cyclohexane_WAS,CycHexane,Cyclohexane,C6H12,110-82-7,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",3.10E-11,0.0,3.92,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2006WIL/HAM3593-3604:12,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
2-Methylhexane_WAS,x2MeHexane,2-Methylhexane,C7H16,591-76-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",6.69E-12,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2009SPR/DEM5030-5038:4,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
3-Methylhexane_WAS,x3MeHexane,3-Methylhexane,C7H16,589-34-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",6.30E-12,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2009SPR/DEM5030-5038:5,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
Methylcyclohexane_WAS,MeCycHexane,Methylcyclohexane,C7H14,108-87-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.85E-11,0.0,1.62,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2018BEJ/WIN544-555:1,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
n-Hexane_WAS,nHexane,n-Hexane,C6H14,110-54-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.22E-12,2.22,-3.68,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2009SIV/MIC5047-5060:9,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
n-Heptane_WAS,nHeptane,n-Heptane,C7H16,142-82-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",6.03E-12,1.4,-0.27,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2009SIV/MIC5047-5060:6,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
Ethylbenzene_WAS,EthBenzene,Ethylbenzene,C8H10,100-41-4,S,Hydrocarbons: Aromatics and Oxygenated Aromatics,7.51E-12,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:51,,,,aromatic,
o-Xylene_WAS,oXylene,o-Xylene,C8H10,95-47-6,S,Hydrocarbons: Aromatics and Oxygenated Aromatics,1.47E-11,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:47,XYLE,1.70E-11,,aromatic,
alpha-Pinene_WAS,aPinene,alpha-Pinene,C10H16,80-56-8,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",,,,,,,,,,
beta-Pinene_WAS,bPinene,beta-Pinene,C10H16,127-91-3,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",,,,,,,,,,
H2O_vapor_DLH,H2O,water vapor,H2O,,,,,,,,,,,,,
