Column_Name,Core_Name,Definition,Molecular_Formula,CAS_Number,Specificity,Category,A,n,B,kOH_source,kOH_source_link,GC_id,GC_rate_law,EF,OHR_Class,notes
SO2,SO2,Sulfur dioxide,SO2,7446-09-05,S,Sulfur Species,1.31E-12,-0.7,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:181,SO2,"GCJPLPR_aba(3.30e-31, 4.3, 1.6e-12, 0.6, TEMP)",,other,
BrO,BrO,Bromine monoxide,BrO,15656-19-6,S,Halogens and Halogenates,1.80E-11,0.0,-2.08,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2007ATK/BAU981-1191:208,BrO,"GCARR_ac(1.70e-11, 250.0, TEMP)",,other,
Br2,Br2,Bromine,Br2,7726-95-6,S,Halogens and Halogenates,,,,,,,,,,
OH,OH,Hydroxyl radical,OH,3352-57-6,S,"Oxygen Species, Hydrogen Species and Radicals",,,,,,,,,,
HO2,HO2,Hydroperoxy radical,HO2,3170-83-0,S,"Oxygen Species, Hydrogen Species and Radicals",,,,,,,,,,
H2SO4_CIMS,H2SO4,Sulfuric acid,H2SO4,7664-93-9,S,Sulfur Species,,,,,,,,,,
MSA_CIMS,MSA,Methanesulfonic acid,CH4O3S,75-75-2,S,Sulfur Species,,,,,,,,,,
GT_PAN,PAN,Peroxyacetyl nitrate,C2H3NO5,2278-22-0,S,Nitrogen Species,,,,,,,,,,
GT_PPN,PPN,Peroxylpropionyl nitrate,C3H5NO5,5796-89-4,S,Nitrogen Species,,,,,,,,,,
GT_APAN,APAN,Peroxyacryloyl nitrate,C3H3NO5,,S,Nitrogen Species,,,,,,,,,,
CH2O_NCAR,CH2O,Formaldehyde,CH2O,50-00-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species,1.40E-12,1.63,4.41,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2005VAS/DAV98-109:1,CH2O,"GCARR_ac(5.50e-12, 125.0, TEMP)",,OVOCs,
Cl,Cl,Chlorine atom,Cl,22537-15-1,S,Halogens and Halogenates,,,,,,,,,,
Br,Br,Bromine atom,Br,10097-32-2,S,Halogens and Halogenates,,,,,,,,,,
NO3,NO3,Nitrate radical,NO3,12033-49-7,S,Nitrogen Species,,,,,,,,,,
Benzene_PTRMS,Benzene,Benzene,C6H6,71-43-2,S,Hydrocarbons: Aromatics and Oxygenated Aromatics,7.57E-12,0.0,4.4,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:6,BENZ,"GCARR_abc(2.3e-12, 0.0, -193.0, TEMP)",0.41741634,aromatic,
Isobutane_TOGA,iButane,Isobutane,C4H10,75-28-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",3.18E-12,1.12,1.01,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2006WIL/HAM3593-3604:1,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
Chloromethane_TOGA,CH3Cl,Chloromethane,CH3Cl,74-87-3,S,Halogens and Halogenates,3.80E-12,0.0,11.14,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:468,CH3Cl,"GCARR_ac(1.96e-12, -1200.0, TEMP)",,other,
Acetaldehyde_TOGA,CH3CHO,Acetaldehyde,C2H4O,75-07-0,S,Oxygenated Inorganic and Volatile Organic Carbon Species,2.49E-12,0.73,-4.66,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1992BAU/COB411-429:70,ALD2,"GCARR_ac(4.63e-12, 350.0, TEMP)",,OVOCs,
Bromomethane_TOGA,CH3Br,Bromomethane,CH3Br,74-83-9,S,Halogens and Halogenates,1.70E-12,0.0,10.1,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:582,CH3Br,"GCARR_ac(1.42e-12, -1150.0, TEMP)",,other,
Isopentane_TOGA,iPentane,Isopentane,C5H12,78-78-4,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",3.46E-12,1.27,-0.13,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2006WIL/HAM3593-3604:2,ALK4,"GCARR_ac(9.10e-12, -405.0, TEMP)",,alkane,
Methanol_TOGA,CH3OH,Methanol,CH4O,67-56-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species,2.88E-13,2.62,-2.85,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2015ZAC/LAM377-384:1,MOH,"GCARR_ac(2.90e-12, -345.0, TEMP)",,OVOCs,
Isoprene_TOGA,Isoprene,Isoprene,C5H8,78-79-5,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.93E-11,0.0,-3.87,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2017DIL/DUL15137-15150:1,ISOP,"GC_ISO1(1.7e-11, 3.90e2, 9.33e-2, 5.05e15, -1.22e4, 1.79e14, -8.830e3, TEMP)",,isoprene,
Ethanol_TOGA,C2H5OH,Ethanol,C2H6O,64-17-5,S,Oxygenated Inorganic and Volatile Organic Carbon Species,2.03E-13,2.67,-7.02,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2010SIV/SU9425-9439:7,EOH,3.35E-12,,OVOCs,
Propanal_TOGA,Propanal,Propanal,C3H6O,123-38-6,S,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
Acetone_TOGA,Acetone,Acetone,C3H6O,67-64-1,S,Oxygenated Inorganic and Volatile Organic Carbon Species,9.84E-13,0.0,4.02,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2005RAF/STE4728-4735:1,ACET,1.33e-13 + 3.82e-11*np.exp(-2000.0/298),,OVOCs,
Dichloromethane_TOGA,CH2Cl2,Dichloromethane,CH2Cl2,75-09-2,S,Halogens and Halogenates,2.70E-12,0.0,7.65,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:470,CH2Cl2,"GCARR_ac(2.61e-12, -944.0, TEMP)",,other,"TOGA agrees with WAS, more coverage"
Acetonitrile_TOGA,CH3CN,Acetonitrile,C2H3N,75-05-8,S,Nitrogen Species,,,,,,,,0.222887987,,
Methacrolein_TOGA,MAC,Methacrolein,C4H6O,78-85-3,S,Oxygenated Inorganic and Volatile Organic Carbon Species,1.96E-11,0.0,-1.11,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:36,MACR,"GCARR_ac(4.40e-12, 380.0, TEMP)",,OVOCs,
butanal_TOGA,Butanal,Butanal,C4H8O,123-72-8,S,Oxygenated Inorganic and Volatile Organic Carbon Species,6.00E-12,0.0,-3.41,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:57,,,,OVOCs,1% of C4H8O
MEK_TOGA,MEK,Methyl Ethyl Ketone,C4H8O,78-93-3,S,Oxygenated Inorganic and Volatile Organic Carbon Species,1.30E-12,0.0,0.21,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:63,,,,OVOCs,85% of C4H8O
Chloroform_TOGA,CHCl3,Chloroform,CHCl3,67-66-3,S,Halogens and Halogenates,9.30E-13,0.0,5.49,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:474,CHCl3,"GCARR_ac(4.69e-12, -1134.0, TEMP)",,other,WAS looks better
Tetrachloromethane_TOGA,CCl4,Tetrachloromethane,CCl4,56-23-5,S,Halogens and Halogenates,,,,,,,,,,
Toluene_TOGA,Toluene,Toluene,C7H8,108-88-3,S,Hydrocarbons: Aromatics and Oxygenated Aromatics,2.09E-12,0.0,-2.68,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:67,TOLU,"GCARR_abc(1.8e-12, 0.0, 340.0, TEMP)",0.273158883,aromatic,
o-xylene_TOGA,oXylene,o-Xylene,C8H10,95-47-6,S,Hydrocarbons: Aromatics and Oxygenated Aromatics,1.47E-11,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:47,XYLE,1.70E-11,,aromatic,
OCS,OCS,Carbonyl sulfide,OCS,463-58-1,S,Sulfur Species,1.10E-13,0.0,9.98,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:186,OCS,"GCARR_ac(1.10e-13, -1200.0, TEMP)",,other,
DMS,DMS,Dimethyl sulfide,C2H6S,75-18-3,S,Sulfur Species,1.13E-11,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004ATK/BAU1461-1738:202,DMS,"GCARR_ac(1.20e-11, -280.0, TEMP)",,other,hard to say what measurement is best; PTR with significantly more coverage but a lot of negative values
CH3CCl3,CH3CCl3,"Methyl chloroform; 1,1,1- Trichloroethane",C2H3Cl3,71-55-6,S,Halogens and Halogenates,1.20E-12,0.0,11.97,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:482,CH3CCl3,"GCARR_ac(1.64e-12, -1520.0, TEMP)",,other,
C2HCl3,C2HCl3,Trichloroethene,C2HCl3,79-01-6,S,Halogens and Halogenates,5.00E-13,0.0,-3.7,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:478,,,,other,
C2Cl4,C2Cl4,Tetrachloroethene,C2Cl4,127-18-4,S,Halogens and Halogenates,9.40E-12,0.0,9.98,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:479,,,,other,"TOGA agrees with WAS, more coverage"
CH3I,CH3I,Iodomethane,CH3I,74-88-4,S,Halogens and Halogenates,3.10E-12,0.0,9.31,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:625,CH3I,"GCARR_ac(2.90e-12, -1100.0, TEMP)",,other,"TOGA agrees with WAS, more coverage"
CH2Br2,CH2Br2,Dibromomethane,CH2Br2,74-95-3,S,Halogens and Halogenates,1.50E-12,0.0,6.44,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:583,CH2CBr2,"GCARR_ac(2.00e-12, -840.0, TEMP)",,other,WAS much better
CHBrCl2,CHBrCl2,Bromodichloromethane,CHBrCl2,75-27-4,S,Halogens and Halogenates,9.40E-13,0.0,4.27,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2013ORK/KHA3809-3818:4,,,,other,
CHBr2Cl,CHBr2Cl,Dibromochloromethane,CHBr2Cl,124-48-1,S,Halogens and Halogenates,9.00E-13,0.0,3.52,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2013ORK/KHA3809-3818:5,,,,other,
CHBr3,CHBr3,Bromoform,CHBr3,75-25-2,S,Halogens and Halogenates,1.60E-12,0.0,5.9,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1997DEM/SAN1-266:149,CHBr3,"GCARR_ac(9.00e-13, -360.0, TEMP)",,other,"Horrible agreement between TOGA and WAS, two tailed dist."
MeONO2,MeONO2,Methyl nitrate,CH3NO3,598-58-3,S,Nitrogen Species,4.00E-13,0.0,7.03,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2001ATK/BAU1-56:83,MENO3,"GCARR_ac(8.00e-13, -1000.0, TEMP)",,NOy,chose WAS with less coverage b/c TOGA in arbppt
Ethane,Ethane,Ethane,C2H6,74-84-0,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",8.53E-13,2.22,3.1,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2004KRA/MIC5643-5648:3,C2H6,"GCARR_ac(7.66e-12, -1020.0, TEMP)",,alkane,
Ethene,Ethene,Ethene,C2H4,74-85-1,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",8.80E-12,0.0,0.0,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1997DEM/SAN1-266:99,C2H4,"GCJPLPR_abab(1.10e-28, 3.5, 8.4e-12, 1.75, 0.5, TEMP)",,alkene,
Ethyne,Ethyne,Ethyne,C2H2,74-86-2,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",7.30E-12,0.0,5.3,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2007MCK/BLI4043-4055:1,C2H2,"GCJPLPR_abab(5.50e-30, 0.0, 8.3e-13, -2.0, 0.5, TEMP)",,alkyne,
Propane,Propane,Propane,C3H8,74-98-6,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",1.47E-12,2.0,0.72,NIST,https://kinetics.nist.gov/kinetics/Detail?id=2003ATK2233-2307:7,C3H8,"GC_TBRANCH_2_acabc(7.60e-12, -585.0, 5.87, 0.64, -816.0, TEMP)",,alkane,
Propene,Propene,Propene,C3H6,0115-07-01,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",4.85E-12,0.0,-4.19,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:78,PRPE,"GCJPLPR_abab(4.60e-27, 4.0, 2.6e-11, 1.3, 0.5, TEMP)",,alkene,
Propyne,Propyne,Propyne,C3H4,74-99-7,S,"Hydrocarbons: Alkanes, Alkenes, and Alkynes",5.86E-12,0.0,-1.27,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:90,,,,alkyne,
Furan,Furan,Furan,C4H4O,110-00-9,S,Oxygenated Inorganic and Volatile Organic Carbon Species,1.32E-11,0.0,-2.78,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:71,,,0.4052794,furans,
MVK,MVK,Methyl Vinyl Ketone,C4H6O,78-94-4,S,Oxygenated Inorganic and Volatile Organic Carbon Species,3.29E-12,0.0,-4.27,NIST,https://kinetics.nist.gov/kinetics/Detail?id=1986ATK69:38,MVK,"GCARR_ac(2.60e-12, 610.0, TEMP)",,OVOCs,
MTBE,MTBE,Methyl Tert-Butyl Ether,C5H12O,1634-04-04,S,Oxygenated Inorganic and Volatile Organic Carbon Species,,,,,,,,,,
H2O(v),H2O,water vapor,H2O,,,,,,,,,,,,,
